Date,SalesRep,Product,Units,Price,Total Sales,City,State,Region,Day
1/8/2013,Isabel  Cross,Nestle Aero Mint Potz,3,290,870,Ranchi, Jharkhand,East,Tuesday
1/8/2013,Rachel  Gomez,Nestle Fab,21,207,4347,Delhi, Delhi,North,Tuesday
1/9/2013,Willie  Vega,Nestle Rowntree Fruit Pastil,3,346,1038,Delhi, Delhi,North,Wednesday
1/9/2013,Shari  Silva,Nestle Aero Mint Potz,2,327,654,Mysore, Karnataka,South,Wednesday
1/9/2013,Max  Rodgers,Nestle Aero Mint Potz,3,336,1008,Nagpur, Maharashtra,West,Wednesday
1/9/2013,Lance  Yates,Nestle Maxibon Cookie,2,118,236,Srinagar, Jammu and Kashmir,North,Wednesday
1/10/2013,Jenny  Garcia,Nestle Toffee Crumble,1,492,492,Shimla, Himachal Pradesh,North,Thursday
1/10/2013,Peter  Hodges,Nestle Toffee Crumble,2,218,436,Shimla, Himachal Pradesh,North,Thursday
1/10/2013,Drew  Rogers,Nestle Nobbly Bobbly,3,188,564,Delhi, Delhi,North,Thursday
1/10/2013,Marian  Hill,Nestle Smarties Pop-Up,1,361,361,Trivandrum, Kerala,South,Thursday
1/11/2013,Ruben  Nunez,Nestle Fab,1,494,494,Ahmedabad, Gujarat,West,Friday
1/11/2013,Mable  Lindsey,Nestle Nobbly Bobbly,19,342,6498,Ahmedabad, Gujarat,West,Friday
1/11/2013,Christina  Fuller,Nestle Maxibon Cookie,2,162,324,Nagpur, Maharashtra,West,Friday
1/11/2013,Bernadette  Page,Nestle Fab,1,316,316,Delhi, Delhi,North,Friday
1/11/2013,Lee  Mack,Nestle Aero Mint Potz,2,401,802,Delhi, Delhi,North,Friday
1/11/2013,Marion  Glover,Nestle Toffee Crumble,2,443,886,Durgapur, West Bengal,East,Friday
1/11/2013,Cassandra  Franklin,Nestle Nobbly Bobbly,2,342,684,Delhi, Delhi,North,Friday
1/11/2013,Eric  Rose,Nestle Nobbly Bobbly,3,498,1494,Mumbai, Maharashtra,West,Friday
1/11/2013,Christy  Olson,Nestle Toffee Crumble,1,100,100,Surat, Gujarat,West,Friday
1/12/2013,Cecilia  Manning,Nestle Rolo Potz,2,178,356,Trivandrum, Kerala,South,Saturday
1/12/2013,Cecilia  Manning,Nestle Milky Bar Stick,1,352,352,Trivandrum, Kerala,South,Saturday
1/12/2013,Jaime  Pearson,Nestle Kit Kat Cone,1,279,279,Jodhpur, Rajasthan,North,Saturday
1/12/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,3,300,900,Mysore, Karnataka,South,Saturday
1/12/2013,Dan  Peterson,Nestle Rowntree Screamers,1,320,320,Shimla, Himachal Pradesh,North,Saturday
1/12/2013,Christy  Olson,Nestle Smarties Pop-Up,2,350,700,Surat, Gujarat,West,Saturday
1/13/2013,Lula  Daniels,Nestle Fab,2,231,462,Nainital, Uttarakhand,North,Sunday
1/13/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,477,1908,Delhi, Delhi,North,Sunday
1/13/2013,Edwin  Malone,Nestle Aero Mint Potz,3,432,1296,Kolkata, West Bengal,East,Sunday
1/13/2013,Dan  Peterson,Nestle Maxibon Cookie,2,149,298,Shimla, Himachal Pradesh,North,Sunday
1/14/2013,Cassandra  Franklin,Nestle Fab,4,403,1612,Delhi, Delhi,North,Monday
1/14/2013,Shari  Silva,Nestle Kit Kat Cone,2,489,978,Mysore, Karnataka,South,Monday
1/14/2013,Brooke  Horton,Nestle Fab,15,370,5550,Nainital, Uttarakhand,North,Monday
1/14/2013,Ben  Perez,Nestle Fab,2,191,382,Goa, Goa,West,Monday
1/14/2013,Willie  Vega,Nestle Milky Bar Stick,1,411,411,Delhi, Delhi,North,Monday
1/15/2013,Bernadette  Page,Nestle Smarties Pop-Up,2,296,592,Delhi, Delhi,North,Tuesday
1/15/2013,Drew  Rogers,Nestle Maxibon Cookie,3,203,609,Delhi, Delhi,North,Tuesday
1/15/2013,Shari  Silva,Nestle Smarties Pop-Up,1,151,151,Mysore, Karnataka,South,Tuesday
1/15/2013,Elvira  Bowman,Nestle Rowntree Fruit Pastil,3,262,786,Srinagar, Jammu and Kashmir,North,Tuesday
1/15/2013,Drew  Rogers,Nestle Kit Kat Cone,1,201,201,Delhi, Delhi,North,Tuesday
1/15/2013,Rachel  Gomez,Nestle Fab,2,474,948,Delhi, Delhi,North,Tuesday
1/16/2013,Drew  Rogers,Nestle Rowntree Fruit Pastil,2,406,812,Delhi, Delhi,North,Wednesday
1/16/2013,Guillermo  Potter,Nestle Rolo Potz,2,236,472,Nainital, Uttarakhand,North,Wednesday
1/16/2013,Lula  Daniels,Nestle Milky Bar Stick,3,482,1446,Nainital, Uttarakhand,North,Wednesday
1/16/2013,Marion  Glover,Nestle Smarties Pop-Up,2,210,420,Durgapur, West Bengal,East,Wednesday
1/17/2013,Trevor  Jones,Nestle Maxibon Cookie,2,178,356,Pune, Maharashtra,West,Thursday
1/17/2013,Max  Rodgers,Nestle Rowntree Fruit Pastil,3,180,540,Nagpur, Maharashtra,West,Thursday
1/17/2013,Pauline  Beck,Nestle Aero Mint Potz,2,224,448,Pune, Maharashtra,West,Thursday
1/17/2013,Marion  Glover,Nestle Nobbly Bobbly,1,203,203,Durgapur, West Bengal,East,Thursday
1/17/2013,Ernest  Davis,Nestle Aero Mint Potz,1,261,261,Mumbai, Maharashtra,West,Thursday
1/17/2013,Johanna  Boone,Nestle Milky Bar Stick,1,415,415,Mysore, Karnataka,South,Thursday
1/17/2013,Salvador  Bass,Nestle Smarties Pop-Up,2,441,882,Goa, Goa,West,Thursday
1/17/2013,Herman  Williams,Nestle Rowntree Screamers,3,380,1140,Darjeeling, West Bengal,East,Thursday
1/18/2013,Shari  Silva,Nestle Kit Kat Cone,3,176,528,Mysore, Karnataka,South,Friday
1/18/2013,Robert  Munoz,Nestle Maxibon Cookie,2,414,828,Delhi, Delhi,North,Friday
1/18/2013,Ellen  Weaver,Nestle Fab,3,395,1185,Hyderabad, Telangana,South,Friday
1/18/2013,Bobbie  Ryan,Nestle Smarties Pop-Up,3,496,1488,Darjeeling, West Bengal,East,Friday
1/19/2013,Lance  Yates,Nestle Toffee Crumble,3,337,1011,Srinagar, Jammu and Kashmir,North,Saturday
1/19/2013,Mable  Lindsey,Nestle Milky Bar Stick,3,398,1194,Ahmedabad, Gujarat,West,Saturday
1/20/2013,Ivan  Adkins,Nestle Aero Mint Potz,1,485,485,Mumbai, Maharashtra,West,Sunday
1/20/2013,Christina  Fuller,Nestle Rowntree Fruit Pastil,3,285,855,Nagpur, Maharashtra,West,Sunday
1/20/2013,Robert  Munoz,Nestle Toffee Crumble,21,418,8778,Delhi, Delhi,North,Sunday
1/20/2013,Johanna  Boone,Nestle Smarties Pop-Up,2,130,260,Mysore, Karnataka,South,Sunday
1/20/2013,Cassandra  Franklin,Nestle Smarties Pop-Up,3,188,564,Delhi, Delhi,North,Sunday
1/20/2013,Cecilia  Manning,Nestle Kit Kat Cone,12,157,1884,Trivandrum, Kerala,South,Sunday
1/21/2013,Jenny  Garcia,Nestle Smarties Pop-Up,3,262,786,Shimla, Himachal Pradesh,North,Monday
1/21/2013,Jaime  Pearson,Nestle Milky Bar Stick,2,326,652,Jodhpur, Rajasthan,North,Monday
1/21/2013,Rachel  Gomez,Nestle Milky Bar Stick,2,323,646,Delhi, Delhi,North,Monday
1/21/2013,Ellen  Weaver,Nestle Smarties Pop-Up,3,191,573,Hyderabad, Telangana,South,Monday
1/21/2013,Shari  Silva,Nestle Aero Mint Potz,1,265,265,Mysore, Karnataka,South,Monday
1/21/2013,Eric  Rose,Nestle Aero Mint Potz,3,414,1242,Mumbai, Maharashtra,West,Monday
1/21/2013,Lula  Daniels,Nestle Milky Bar Stick,2,252,504,Nainital, Uttarakhand,North,Monday
1/21/2013,Salvador  Bass,Nestle Maxibon Cookie,1,243,243,Goa, Goa,West,Monday
1/22/2013,Elvira  Bowman,Nestle Aero Mint Potz,22,491,10802,Srinagar, Jammu and Kashmir,North,Tuesday
1/22/2013,Mable  Lindsey,Nestle Maxibon Cookie,2,150,300,Ahmedabad, Gujarat,West,Tuesday
1/22/2013,Andrew  Meyer,Nestle Fab,1,264,264,Mumbai, Maharashtra,West,Tuesday
1/22/2013,Lynette  Brewer,Nestle Toffee Crumble,19,136,2584,Varanasi, Uttar Pradesh,North,Tuesday
1/22/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,1,254,254,Mysore, Karnataka,South,Tuesday
1/22/2013,Edwin  Malone,Nestle Smarties Pop-Up,2,136,272,Kolkata, West Bengal,East,Tuesday
1/23/2013,Della  Jensen,Nestle Rowntree Fruit Pastil,2,450,900,Patna, Bihar,East,Wednesday
1/23/2013,Blake  Bridges,Nestle Maxibon Cookie,2,439,878,Cochin, Kerala,South,Wednesday
1/23/2013,Mable  Lindsey,Nestle Kit Kat Cone,23,140,3220,Ahmedabad, Gujarat,West,Wednesday
1/23/2013,Ernest  Davis,Nestle Aero Mint Potz,3,259,777,Mumbai, Maharashtra,West,Wednesday
1/23/2013,Della  Jensen,Nestle Toffee Crumble,2,324,648,Patna, Bihar,East,Wednesday
1/24/2013,Robert  Munoz,Nestle Toffee Crumble,2,374,748,Delhi, Delhi,North,Thursday
1/24/2013,Cecilia  Manning,Nestle Rolo Potz,11,433,4763,Trivandrum, Kerala,South,Thursday
1/24/2013,Salvador  Bass,Nestle Aero Mint Potz,3,377,1131,Goa, Goa,West,Thursday
1/25/2013,Cassandra  Franklin,Nestle Rowntree Fruit Pastil,2,308,616,Delhi, Delhi,North,Friday
1/25/2013,Lee  Mack,Nestle Fab,1,199,199,Delhi, Delhi,North,Friday
1/25/2013,Rachel  Gomez,Nestle Milky Bar Stick,3,464,1392,Delhi, Delhi,North,Friday
1/25/2013,Shari  Silva,Nestle Maxibon Cookie,2,319,638,Mysore, Karnataka,South,Friday
1/26/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,2,465,930,Mysore, Karnataka,South,Saturday
1/26/2013,Robert  Munoz,Nestle Milky Bar Stick,2,182,364,Delhi, Delhi,North,Saturday
1/26/2013,Ernest  Davis,Nestle Milky Bar Stick,1,401,401,Mumbai, Maharashtra,West,Saturday
1/26/2013,Lee  Mack,Nestle Smarties Pop-Up,7,293,2051,Delhi, Delhi,North,Saturday
1/26/2013,Rachel  Gomez,Nestle Kit Kat Cone,1,147,147,Delhi, Delhi,North,Saturday
1/26/2013,Andrew  Meyer,Nestle Fab,20,136,2720,Mumbai, Maharashtra,West,Saturday
1/27/2013,Isabel  Cross,Nestle Smarties Pop-Up,20,348,6960,Ranchi, Jharkhand,East,Sunday
1/27/2013,Cindy  Becker,Nestle Fab,2,244,488,Bangalore, Karnataka,South,Sunday
1/27/2013,Felicia  Jennings,Nestle Milky Bar Stick,1,253,253,Pune, Maharashtra,West,Sunday
1/27/2013,Della  Jensen,Nestle Aero Mint Potz,1,155,155,Patna, Bihar,East,Sunday
1/28/2013,Bernadette  Page,Nestle Aero Mint Potz,2,100,200,Delhi, Delhi,North,Monday
1/28/2013,Rachel  Gomez,Nestle Milky Bar Stick,1,319,319,Delhi, Delhi,North,Monday
1/28/2013,Cecilia  Manning,Nestle Aero Mint Potz,3,284,852,Trivandrum, Kerala,South,Monday
1/29/2013,Lee  Mack,Nestle Rowntree Fruit Pastil,1,167,167,Delhi, Delhi,North,Tuesday
1/29/2013,Robert  Munoz,Nestle Rowntree Fruit Pastil,2,370,740,Delhi, Delhi,North,Tuesday
1/29/2013,Lee  Mack,Nestle Rowntree Fruit Pastil,22,365,8030,Delhi, Delhi,North,Tuesday
1/30/2013,Carla  Mccormick,Nestle Smarties Pop-Up,3,222,666,Varanasi, Uttar Pradesh,North,Wednesday
1/30/2013,Iris  Underwood,Nestle Milky Bar Stick,1,200,200,Pune, Maharashtra,West,Wednesday
1/30/2013,Brooke  Horton,Nestle Smarties Pop-Up,3,429,1287,Nainital, Uttarakhand,North,Wednesday
1/31/2013,Edwin  Malone,Nestle Smarties Pop-Up,3,129,387,Kolkata, West Bengal,East,Thursday
1/31/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,2,355,710,Mysore, Karnataka,South,Thursday
1/31/2013,Cassandra  Franklin,Nestle Milky Bar Stick,2,168,336,Delhi, Delhi,North,Thursday
1/31/2013,Guillermo  Potter,Nestle Milky Bar Stick,2,210,420,Nainital, Uttarakhand,North,Thursday
1/31/2013,Edwin  Malone,Nestle Fab,1,138,138,Kolkata, West Bengal,East,Thursday
1/31/2013,Joey  Wong,Nestle Smarties Pop-Up,3,493,1479,Goa, Goa,West,Thursday
2/1/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,1,160,160,Delhi, Delhi,North,Friday
2/1/2013,Joey  Wong,Nestle Maxibon Cookie,2,151,302,Goa, Goa,West,Friday
2/1/2013,Trevor  Jones,Nestle Aero Mint Potz,3,383,1149,Pune, Maharashtra,West,Friday
2/1/2013,Andrew  Meyer,Nestle Rowntree Screamers,3,187,561,Mumbai, Maharashtra,West,Friday
2/1/2013,Drew  Rogers,Nestle Smarties Pop-Up,1,111,111,Delhi, Delhi,North,Friday
2/1/2013,Max  Rodgers,Nestle Rowntree Fruit Pastil,1,114,114,Nagpur, Maharashtra,West,Friday
2/1/2013,Mable  Lindsey,Nestle Milky Bar Stick,2,208,416,Ahmedabad, Gujarat,West,Friday
2/2/2013,Colleen  Warren,Nestle Smarties Pop-Up,1,288,288,Ahmedabad, Gujarat,West,Saturday
2/2/2013,Cassandra  Franklin,Nestle Milky Bar Stick,3,282,846,Delhi, Delhi,North,Saturday
2/3/2013,Pauline  Beck,Nestle Rowntree Fruit Pastil,1,372,372,Pune, Maharashtra,West,Sunday
2/3/2013,Joey  Wong,Nestle Kit Kat Cone,2,119,238,Goa, Goa,West,Sunday
2/3/2013,Trevor  Jones,Nestle Toffee Crumble,1,114,114,Pune, Maharashtra,West,Sunday
2/3/2013,Cindy  Becker,Nestle Fab,1,367,367,Bangalore, Karnataka,South,Sunday
2/4/2013,Trevor  Jones,Nestle Aero Mint Potz,3,247,741,Pune, Maharashtra,West,Monday
2/4/2013,Robert  Munoz,Nestle Rolo Potz,2,365,730,Delhi, Delhi,North,Monday
2/4/2013,Max  Rodgers,Nestle Rowntree Screamers,1,410,410,Nagpur, Maharashtra,West,Monday
2/5/2013,Bobbie  Ryan,Nestle Aero Mint Potz,3,163,489,Darjeeling, West Bengal,East,Tuesday
2/5/2013,Beth  Tucker,Nestle Kit Kat Cone,2,164,328,Pune, Maharashtra,West,Tuesday
2/5/2013,Robert  Munoz,Nestle Nobbly Bobbly,2,278,556,Delhi, Delhi,North,Tuesday
2/6/2013,Elvira  Bowman,Nestle Smarties Pop-Up,3,396,1188,Srinagar, Jammu and Kashmir,North,Wednesday
2/6/2013,Brooke  Horton,Nestle Toffee Crumble,2,296,592,Nainital, Uttarakhand,North,Wednesday
2/6/2013,Salvador  Bass,Nestle Smarties Pop-Up,1,233,233,Goa, Goa,West,Wednesday
2/6/2013,Patty  Thompson,Nestle Rolo Potz,3,189,567,Mumbai, Maharashtra,West,Wednesday
2/6/2013,Felicia  Jennings,Nestle Rolo Potz,1,118,118,Pune, Maharashtra,West,Wednesday
2/6/2013,Edwin  Malone,Nestle Kit Kat Cone,1,426,426,Kolkata, West Bengal,East,Wednesday
2/6/2013,Iris  Underwood,Nestle Kit Kat Cone,3,435,1305,Pune, Maharashtra,West,Wednesday
2/6/2013,Salvador  Bass,Nestle Fab,1,464,464,Goa, Goa,West,Wednesday
2/7/2013,Jaime  Pearson,Nestle Milky Bar Stick,1,337,337,Jodhpur, Rajasthan,North,Thursday
2/7/2013,Arturo  Francis,Nestle Smarties Pop-Up,1,472,472,Ranchi, Jharkhand,East,Thursday
2/7/2013,Shari  Silva,Nestle Fab,3,185,555,Mysore, Karnataka,South,Thursday
2/7/2013,Herman  Williams,Nestle Toffee Crumble,1,416,416,Darjeeling, West Bengal,East,Thursday
2/8/2013,Trevor  Jones,Nestle Smarties Pop-Up,1,396,396,Pune, Maharashtra,West,Friday
2/8/2013,Eric  Rose,Nestle Fab,2,248,496,Mumbai, Maharashtra,West,Friday
2/8/2013,Lula  Daniels,Nestle Toffee Crumble,12,217,2604,Nainital, Uttarakhand,North,Friday
2/8/2013,Fernando  Rowe,Nestle Rowntree Fruit Pastil,1,317,317,Ahmedabad, Gujarat,West,Friday
2/8/2013,Lorraine  Gibson,Nestle Toffee Crumble,3,362,1086,Kolkata, West Bengal,East,Friday
2/8/2013,Donna  Reid,Nestle Fab,2,137,274,Goa, Goa,West,Friday
2/8/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,294,1176,Delhi, Delhi,North,Friday
2/9/2013,Jaime  Pearson,Nestle Rowntree Screamers,2,146,292,Jodhpur, Rajasthan,North,Saturday
2/9/2013,Donna  Reid,Nestle Rolo Potz,13,463,6019,Goa, Goa,West,Saturday
2/9/2013,Lynette  Brewer,Nestle Rowntree Fruit Pastil,2,464,928,Varanasi, Uttar Pradesh,North,Saturday
2/9/2013,Colleen  Warren,Nestle Milky Bar Stick,2,394,788,Ahmedabad, Gujarat,West,Saturday
2/9/2013,Robert  Munoz,Nestle Smarties Pop-Up,1,136,136,Delhi, Delhi,North,Saturday
2/9/2013,Iris  Underwood,Nestle Rowntree Fruit Pastil,3,361,1083,Pune, Maharashtra,West,Saturday
2/10/2013,Kyle  Carr,Nestle Nobbly Bobbly,3,217,651,Delhi, Delhi,North,Sunday
2/10/2013,Robert  Munoz,Nestle Rowntree Screamers,2,286,572,Delhi, Delhi,North,Sunday
2/11/2013,Arturo  Francis,Nestle Rolo Potz,3,132,396,Ranchi, Jharkhand,East,Monday
2/11/2013,Mable  Lindsey,Nestle Aero Mint Potz,2,331,662,Ahmedabad, Gujarat,West,Monday
2/11/2013,Johanna  Boone,Nestle Aero Mint Potz,4,294,1176,Mysore, Karnataka,South,Monday
2/11/2013,Lula  Daniels,Nestle Toffee Crumble,18,163,2934,Nainital, Uttarakhand,North,Monday
2/11/2013,Tracy  Reed,Nestle Maxibon Cookie,3,487,1461,Agra, Uttar Pradesh,North,Monday
2/11/2013,Eddie  Green,Nestle Smarties Pop-Up,3,144,432,Durgapur, West Bengal,East,Monday
2/11/2013,Herman  Williams,Nestle Toffee Crumble,1,269,269,Darjeeling, West Bengal,East,Monday
2/11/2013,Guillermo  Potter,Nestle Rolo Potz,3,166,498,Nainital, Uttarakhand,North,Monday
2/11/2013,Ernest  Davis,Nestle Fab,4,469,1876,Mumbai, Maharashtra,West,Monday
2/12/2013,Trevor  Jones,Nestle Rowntree Screamers,1,122,122,Pune, Maharashtra,West,Tuesday
2/12/2013,Brooke  Horton,Nestle Smarties Pop-Up,4,140,560,Nainital, Uttarakhand,North,Tuesday
2/12/2013,Herman  Williams,Nestle Nobbly Bobbly,1,133,133,Darjeeling, West Bengal,East,Tuesday
2/13/2013,Eddie  Green,Nestle Fab,1,308,308,Durgapur, West Bengal,East,Wednesday
2/13/2013,Salvador  Bass,Nestle Aero Mint Potz,3,186,558,Goa, Goa,West,Wednesday
2/13/2013,Iris  Underwood,Nestle Fab,3,248,744,Pune, Maharashtra,West,Wednesday
2/14/2013,Donna  Reid,Nestle Toffee Crumble,3,386,1158,Goa, Goa,West,Thursday
2/14/2013,Rachel  Gomez,Nestle Rowntree Screamers,1,269,269,Delhi, Delhi,North,Thursday
2/14/2013,Bobbie  Ryan,Nestle Aero Mint Potz,1,470,470,Darjeeling, West Bengal,East,Thursday
2/14/2013,Eddie  Green,Nestle Milky Bar Stick,4,261,1044,Durgapur, West Bengal,East,Thursday
2/14/2013,Shari  Silva,Nestle Milky Bar Stick,3,197,591,Mysore, Karnataka,South,Thursday
2/15/2013,Lynette  Brewer,Nestle Nobbly Bobbly,2,433,866,Varanasi, Uttar Pradesh,North,Friday
2/15/2013,Pauline  Beck,Nestle Rowntree Fruit Pastil,3,437,1311,Pune, Maharashtra,West,Friday
2/15/2013,Charlie  Wood,Nestle Fab,2,331,662,Agra, Uttar Pradesh,North,Friday
2/15/2013,Bethany  Pena,Nestle Maxibon Cookie,2,221,442,Nagpur, Maharashtra,West,Friday
2/15/2013,Shari  Silva,Nestle Rolo Potz,2,362,724,Mysore, Karnataka,South,Friday
2/16/2013,Ernest  Davis,Nestle Smarties Pop-Up,2,364,728,Mumbai, Maharashtra,West,Saturday
2/16/2013,Lance  Yates,Nestle Maxibon Cookie,3,391,1173,Srinagar, Jammu and Kashmir,North,Saturday
2/16/2013,Jenny  Garcia,Nestle Kit Kat Cone,3,210,630,Shimla, Himachal Pradesh,North,Saturday
2/17/2013,Pauline  Beck,Nestle Aero Mint Potz,18,205,3690,Pune, Maharashtra,West,Sunday
2/17/2013,Ellen  Weaver,Nestle Fab,2,365,730,Hyderabad, Telangana,South,Sunday
2/17/2013,Austin  Reynolds,Nestle Aero Mint Potz,3,344,1032,Kolkata, West Bengal,East,Sunday
2/17/2013,Willie  Vega,Nestle Maxibon Cookie,3,145,435,Delhi, Delhi,North,Sunday
2/17/2013,Salvador  Bass,Nestle Aero Mint Potz,3,109,327,Goa, Goa,West,Sunday
2/17/2013,Rachel  Gomez,Nestle Milky Bar Stick,13,293,3809,Delhi, Delhi,North,Sunday
2/18/2013,Drew  Rogers,Nestle Nobbly Bobbly,4,467,1868,Delhi, Delhi,North,Monday
2/18/2013,Guillermo  Potter,Nestle Aero Mint Potz,4,296,1184,Nainital, Uttarakhand,North,Monday
2/19/2013,Cassandra  Franklin,Nestle Toffee Crumble,4,390,1560,Delhi, Delhi,North,Tuesday
2/19/2013,Cindy  Becker,Nestle Milky Bar Stick,17,410,6970,Bangalore, Karnataka,South,Tuesday
2/20/2013,Max  Rodgers,Nestle Fab,2,213,426,Nagpur, Maharashtra,West,Wednesday
2/20/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,3,101,303,Mysore, Karnataka,South,Wednesday
2/20/2013,Robert  Munoz,Nestle Aero Mint Potz,3,101,303,Delhi, Delhi,North,Wednesday
2/21/2013,Cassandra  Franklin,Nestle Rolo Potz,1,291,291,Delhi, Delhi,North,Thursday
2/21/2013,Salvador  Bass,Nestle Smarties Pop-Up,2,347,694,Goa, Goa,West,Thursday
2/21/2013,Johanna  Boone,Nestle Maxibon Cookie,3,485,1455,Mysore, Karnataka,South,Thursday
2/21/2013,Eddie  Green,Nestle Milky Bar Stick,1,338,338,Durgapur, West Bengal,East,Thursday
2/21/2013,Woodrow  Colon,Nestle Nobbly Bobbly,3,141,423,Cochin, Kerala,South,Thursday
2/22/2013,Iris  Underwood,Nestle Kit Kat Cone,16,474,7584,Pune, Maharashtra,West,Friday
2/22/2013,Isabel  Cross,Nestle Rolo Potz,3,409,1227,Ranchi, Jharkhand,East,Friday
2/22/2013,Max  Rodgers,Nestle Kit Kat Cone,1,453,453,Nagpur, Maharashtra,West,Friday
2/22/2013,Charlie  Wood,Nestle Kit Kat Cone,13,354,4602,Agra, Uttar Pradesh,North,Friday
2/23/2013,Tiffany  May,Nestle Rowntree Screamers,3,253,759,Agra, Uttar Pradesh,North,Saturday
2/23/2013,Marian  Hill,Nestle Milky Bar Stick,1,301,301,Trivandrum, Kerala,South,Saturday
2/23/2013,Isabel  Cross,Nestle Aero Mint Potz,3,409,1227,Ranchi, Jharkhand,East,Saturday
2/23/2013,Salvador  Bass,Nestle Nobbly Bobbly,3,447,1341,Goa, Goa,West,Saturday
2/23/2013,Lula  Daniels,Nestle Fab,4,142,568,Nainital, Uttarakhand,North,Saturday
2/24/2013,Brooke  Horton,Nestle Rowntree Fruit Pastil,1,280,280,Nainital, Uttarakhand,North,Sunday
2/24/2013,Salvador  Bass,Nestle Rowntree Fruit Pastil,1,247,247,Goa, Goa,West,Sunday
2/24/2013,Felicia  Jennings,Nestle Aero Mint Potz,3,284,852,Pune, Maharashtra,West,Sunday
2/24/2013,Elbert  Klein,Nestle Milky Bar Stick,2,401,802,Cochin, Kerala,South,Sunday
